Valerie Crouchot;
Maria Montez;
Tricia Masters;
Lynn Tennent;
Marion Herstadt;
Rose Mason;
Olga Romanova;
Elena Matisse;
Julia Hechter;
Veronica Miles;
Sophia Minetti;
Tonya Servant;
Daria Stewart;
Franca Rosetti;
Helene Ziel;
Melisa Kreiger;
Carlene Luongo;
Pearlie Bunner;
Serena Doles;
Jeanie Bonebrake;
Lilia Cagley;
Nannie Brode;
Cecile Ebell;
Roxie Pirkle;
Jami Rispoli;
Roslyn Rega;
Eve Aylor;
Selena Blandford;
Alana Garst;
Lilia Reeb;
Mallory Ribera;
Benita Diener;
Tameka Shiley;
Emilia Pryce;
Gay Brownstein;
Penelope Wildt;
Nannie Walworth;
Carmella Punch;
Annabelle Moyle;
Earnestine Litten;
Earnestine Batt;
Malinda Sauter;
